PhysicalDataID,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,FieldComments,Field1
1460,2164,0.05,1629,0.1,1084,0.22,523,0.96,21.67,,
1462,2218,0.12,1660,0.21,1190,0.24,554,0.75,22.1,,
1463,2381,0.02,1788,0.09,1198,0.34,589,1.04,23.6,,
1464,2162,0.03,1625,0.25,1081,0.44,540,1.62,22.07,,
1465,2350,0.2,1769,0.52,1168,1.17,588,2.21,61.5,,
1466,2408,0.1,1803,0.36,1209,0.93,603,2.21,381,,
1467,2431,0.08,1804,0.37,1264,1.29,610,2.21,286,,
1468,2994,0.04,2219,0.3,1495,0.62,748,2.21,92.12,,
1469,2358,0.06,1700,0.3,1146,1.26,583.4,2.21,354.6,,
1470,2441,0.05,1812.9,0.14,1220.9,0.45,620.8,2.21,23.97,,
1471,1412,0.05,1062,0.13,703,0.3,355,1.13,14.1,,
1472,2004,0.05,1502,0.15,1007,0.3,502,1.01,20.05,,
1473,2355,0.07,1766,0.13,1173,0.19,587,0.5,23.25,,
1476,2233,0.08,1673.8,0.15,1117,0.24,555.7,0.76,22.38,,
1477,2224,0.1,1646,0.29,1119,0.54,553,1.43,22.04,,
1478,2312,0.03,1769,0.34,1156,1.2,577,2.49,118,,
1479,2395,0.04,1753,0.27,1199,1.25,595,2.49,238,,
1480,2392,0.1,1764,0.25,1197,0.85,588,2.49,343,,
1481,2358,0.12,1793,0.41,1186,1.72,579,2.49,425,,
1482,2245,0.06,1651,0.36,1118,0.96,559,2.49,102.07,,
1483,1706,0.06,1705,0.13,855,0.27,428,1.02,17,,
1485,2063,0.05,1542,0.16,1036,0.29,517,0.94,20.77,,
1487,2179,0.1,1631,0.18,1090,0.22,546,0.6,20.8,,
1488,2059,0.09,1567,0.13,1023,0.22,509,0.78,19.66,,
1489,2236,0.1,1669,0.22,1117,0.4,557,1.08,22.84,,
1490,2380,0.04,1787,0.32,1189,0.72,597,2.45,26.5,,
1491,2408,0.03,1815,0.17,1215,0.7,607,2.45,84.01,,
1492,2275,0.05,1715,0.31,1138,1.09,569.8,2.45,219.2,,
1493,2364,0.05,1782,0.23,1175,1.06,591,2.45,271.9,,
1494,2182,0.05,1645,0.27,1081,0.85,548,2.45,101.6,,
1495,970,0.05,726,0.1,488,0.23,243,0.93,9.74,,
1496,1930,0.02,1445,0.12,966,0.25,482.1,0.91,19.31,,
1497,2243,0.05,1681,0.13,1128,0.19,565,0.6,22.44,,
1498,2080,0.07,1566,0.12,1038,0.23,521,0.7,20.2,,
1499,2171,0.8,1676,0.12,1138,0.51,536,1.52,22.6,,
1500,2471,0.03,1869,0.28,1238,0.72,632,2.21,32.5,,
1501,2518,0.04,1806,0.21,1237,0.99,611,2.45,288,,
1502,2524,0.04,1863,0.34,1309,1.16,648,2.46,219,,
1503,2518,0.05,1877,0.16,1214,0.78,620,2.45,227.5,,
1504,2251,0.06,1629,0.17,1055,0.72,583,2.42,178,,
1505,2015,0.02,1511,0.05,1009,0.22,505,0.74,20.1,,
1507,2304,0.04,1731,0.16,1150,0.28,573,0.71,23.6,,
1509,2375,0.06,1783,0.13,1187,0.2,597,0.56,23.69,,
1510,2071,0.07,1522,0.09,1122,0.16,519,0.5,23.05,,
1511,2179,0.1,1663,0.24,1079,0.41,543,1.23,23.18,,
1512,2356,0.07,1765,0.28,1121,0.65,580,2.15,43,,
1513,2383,0.09,1805,0.45,1110,1.03,610,1.16,144.8,,
1514,2383,0.06,1726,0.3,1158,1.17,660,2.15,258.8,,
1515,2402,0.06,1806,0.38,1289,1.25,606,2.15,219,,
1516,2426,0.09,1783,0.32,1291,0.91,601,2.15,55.8,,
1517,2101,0.05,1575,0.21,1056,0.51,522,1.8,21.3,,
1518,2213,0.09,1688.5,0.29,1114.9,0.86,553.1,2.49,95.02,,
1520,2309,0.04,1771,0.24,1168.9,1,573.2,2.28,130.06,,
1522,2187,0.07,1629.5,0.22,1096,0.57,543.8,1.8,21.42,,
1523,1237.9,0.08,923.2,0.22,618.9,1.53,209.1,2.18,70.91,,
1526,946,0.02,708,0.06,474,0.32,235.8,2.03,9.63,,
1528,2243,0.04,1662.3,0.07,1115.2,0.65,565.3,2.49,83.05,,
1530,456,0.03,343.6,0.05,227,0.45,114.5,1.66,4.61,,
1531,2343,0.05,1757,0.07,1177.2,0.44,586.5,2.18,23.9,,
1533,440.2,0.01,340,0.05,220,0.18,109.5,2.09,4.4,,
1537,2265,0.01,1678.1,0.03,1152.6,0.12,568.2,1.5,22.47,,
1539,1984.8,0.04,1448.5,0.08,990.3,0.29,496.6,1.24,19.9,,
1541,1883.5,0.05,1436,0.12,947.6,0.56,470.6,2.18,30.27,,
1542,2041,0.04,1542,0.06,1027,0.47,513,1.92,48.6,,
1543,1118.2,0.02,853.9,0.04,568.8,0.3,271.5,1.91,29.8,,
1545,2136,0.04,1644.3,0.07,1079.5,0.31,530.6,1.88,21.84,,
1546,520.6,0.03,391.5,0.05,260.9,0.56,130.3,2.19,13.72,,
1547,656,0.02,473,0.05,337,0.29,164.3,1.92,8.25,,
1549,285.8,0.02,216,0.05,142.3,0.33,77,1.78,2.8,,
1551,281.8,0.02,208.3,0.05,141.99,0.22,70.62,1.09,2.82,,
1552,1957.8,0.04,1461.6,0.12,976.9,0.37,489.5,1.42,19.78,,
1554,2413,0.05,1807.4,0.18,1207.4,0.58,602.8,1.21,24.21,,
1556,771.01,0.03,569.4,0.06,384.9,0.27,193,1.17,7.76,,
1557,2219,0.05,1639.8,0.17,1115.9,0.54,544.1,1.9,22.51,,
1558,2062,0.03,1545.7,0.08,1030.8,0.26,516.5,1.19,20.54,,
1560,726.9,0.03,549,0.05,362,0.5,181,2.3,14.8,,
1561,700.8,0.03,524.6,0.06,354,0.28,174.1,1.07,7.08,,
1563,498.8,0.01,372.9,0.04,246.2,0.35,124.7,1.92,16.3,,
1564,2017,0.04,1516.5,0.12,1001.2,0.22,501.4,0.83,19.61,,
1565,1918,0.04,1443,0.1,955,0.34,481,1.62,19.1,,
1567,2301,0.11,1721.4,0.22,1145.5,0.37,554,1.04,22.7,,
1568,2443,0.03,1831,0.14,1223,0.28,613,0.81,24.5,,
1569,2418,0.07,1829,0.22,1225.2,0.36,600.9,0.96,24.32,,
1570,2229,0.06,1682,0.12,1110,0.2,554,0.62,22.3,,
1571,899.9,0.04,684,0.09,436.7,0.26,212,1.07,8.23,,
1572,1365.6,0.03,1036.2,0.07,684.7,0.12,345.4,0.45,13.65,,
1576,2498,0.05,1860,0.27,1245.2,0.71,623.4,2.52,24.5,,
1577,2166,0.05,1625,0.12,1085.9,0.39,541.2,1.29,21.66,,
1583,2053,0.07,1527.7,0.12,1028.8,0.37,515.8,1.05,20.62,,
1585,2446,0.05,1810.5,0.28,1229.2,1.11,610.6,2.19,207.7,,
1586,2399,0.03,1762,0.25,1224,0.87,610.7,2.2,124.59,,
1587,2402,0.08,1817.5,0.35,1216.2,1.03,603.8,2.2,132.89,,
1588,2444,0.04,1830,0.3,1226.6,1.04,611,1.92,174,,
1589,2439,0.09,1883,0.11,1216.5,0.82,645,1.93,144,,
1590,2457,0.04,1839,0.34,1230,0.55,620,1.73,25.7,,
1591,2326,0.04,1744,0.12,1163,0.2,581.7,0.58,23.1,,
1592,2369,0.04,1783,0.13,1184,0.24,591,0.69,23.5,,
1593,2171,0.03,1631,0.11,1082,0.24,547,0.88,21.06,,
1594,2397,0.06,1747,0.52,1163,1.26,582,2.2,150,,
1595,2356,0.07,1732,0.25,1177,1.03,583,2.21,114,,
1596,2431,0.08,1872,0.4,1250,1.11,608,2.21,214.6,,
1597,2483,0.06,1853,0.38,1224.2,0.97,615,2.21,102.6,,
1598,2410,0.04,1880,0.28,1217,0.63,608,2.21,34.4,,
1599,2320,0.03,1740,0.09,1162,0.17,583,0.5,23.1,,
1600,2148,0.04,1607,0.09,1067,0.23,534,0.77,21.5,,
1601,1955.5,0.05,1462,0.12,977,0.21,483,0.8,19.24,,
1602,1277,0.04,978,0.1,637,0.53,320,2.11,112,,
1603,2610,0.04,1904,0.16,1304.3,1.19,652,2.29,260,,
1604,871,0.03,636,0.11,432,0.63,218,2.1,33,,
1605,2680,0.03,2035,0.07,1308,0.58,670,2.21,66,,
1607,2153,0.06,1617,0.19,1081.8,0.36,537.7,1.12,21.56,,
1608,741.8,0.03,556,0.06,374,0.7,185.1,2.09,42.6,,
1610,2364,0.04,1773.4,0.3,1183.3,0.84,591,2.19,67.7,,
1611,2559,0.08,1929.4,0.19,1280.2,0.46,635,1.5,25.72,,
1612,2318,0.03,1765.3,0.32,1152.1,0.84,572.7,2.29,180.2,,
1613,2313,0.08,1734.5,0.26,1146.1,0.44,642.7,1.36,23.12,,
1616,2138,17,1601.3,0.2,1078,0.47,536.4,1.54,21.2,,
1617,2365,0.07,1775.5,0.24,1186.4,0.97,591.6,2.22,142.82,,
1618,2095,0.06,1557,0.11,1048,0.31,527,1.18,20.84,,
1620,2330,0.06,1751,0.12,1161,0.32,584,0.99,23.2,,
1622,2373,0.04,1765,0.17,1178,0.3,589,0.88,23.2,,
1623,2463,0.05,1839,0.19,1231.5,0.42,616,1.26,24.7,,
1624,2520,0.07,1882.5,0.27,1254.2,0.89,630.1,2.5,102.41,,
1625,2374,0.02,1625,0.06,1136,0.3,592,1.35,23.19,,
1626,2468,0.04,1841,0.2,1238,0.76,618,1.32,24.6,,
1627,2534,0.07,1887.6,0.36,1244.6,0.93,631.4,2.3,149,depth 4 covered full stick ~5%,
1628,2528,0.07,1853.3,0.37,1286.6,1.15,631.4,2.3,258.6,SUBSURFACEIRR 10.2%,
1629,2500,0.08,1800.3,0.32,1288.6,1.35,629.5,2.3,245.2,,
1630,2271,0.04,1662,0.1,1160,0.75,570,,46,Depth4 full length of stick (2.3m?),
1634,,,,,,,,,,NOT WORKING- NOT TAKEN,
1636,,,,,,,,,,malfunction,
1638,,,,,,,,,,"Equipment malfunction, not taken",
1639,,,,,,,,,,equipment malfunction,
