"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month","Flag_ChlaNuts"
"LIS",38.474816,-121.588584,2013-03-06 13:10:00,NA,"ESH0313B0057",NA,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3",NA
"LIS",38.474816,-121.588584,2013-03-13 12:53:00,NA,"ESH0313B0063",33.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3","1"
"LIS",38.474816,-121.588584,2013-03-13 12:53:00,NA,"ESH0313B0063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3",NA
"LIS",38.474816,-121.588584,2013-03-13 12:53:00,NA,"ESH0313B0063",NA,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3",NA
"LIS",38.474816,-121.588584,2013-03-20 13:28:00,NA,"ESH0313B0069",44.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3","1"
"LIS",38.474816,-121.588584,2013-03-20 13:28:00,NA,"ESH0313B0069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3",NA
"LIS",38.474816,-121.588584,2013-03-20 13:28:00,NA,"ESH0313B0069",NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"3",NA
"LIS",38.474816,-121.588584,2013-04-03 11:45:00,NA,"ESH0413B0075",11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4","1"
"LIS",38.474816,-121.588584,2013-04-03 11:45:00,NA,"ESH0413B0075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4",NA
"LIS",38.474816,-121.588584,2013-04-03 11:45:00,NA,"ESH0413B0075",NA,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4",NA
